Epic ID,Epic Nom,Ticket ID,Titre,Type,Priorité,Statut
EPIC-1,Design System & UI Foundation,DS-1,Définir les tokens CSS globaux (couleurs radius typographie espacements),Task,Haute,Done
EPIC-1,Design System & UI Foundation,DS-2,Refactoriser la Sidebar avec design system (nav groups rôles icônes dynamiques),Story,Haute,Done
EPIC-1,Design System & UI Foundation,DS-3,Corriger le padding de recherche dans DataTable,Bug,Moyenne,Done
EPIC-1,Design System & UI Foundation,DS-4,Corriger le layout de la dropzone dans FileUploadModal,Bug,Moyenne,Done
EPIC-1,Design System & UI Foundation,DS-5,Ajouter les props initialPageSize et hidePagination à DataTable,Task,Moyenne,Done
EPIC-2,Module Employés,EMP-1,Backend : endpoint GET /employees avec pagination (page + size),Story,Haute,Done
EPIC-2,Module Employés,EMP-2,Backend : PageResponse<T> — wrapper générique paginé,Task,Haute,Done
EPIC-2,Module Employés,EMP-3,Frontend : hook useFetchEmployeesPaged avec placeholderData,Task,Haute,Done
EPIC-2,Module Employés,EMP-4,Frontend : contrôles de pagination dans EmployeesClient (prev/next/numéros),Task,Haute,Done
EPIC-2,Module Employés,EMP-5,Ajouter le champ email sur l'entité Employee (nullable + import Excel),Story,Moyenne,Done
EPIC-2,Module Employés,EMP-6,Backend : filtres serveur sur /pagination (ligne poste type dates embauche),Story,Haute,Done
EPIC-2,Module Employés,EMP-7,Frontend : barre de filtres UI dans EmployeesClient (dropdowns + date range),Task,Haute,Done
EPIC-2,Module Employés,EMP-8,Frontend : hook useFetchEmployeesForFilters pour peupler les dropdowns,Task,Moyenne,Done
EPIC-2,Module Employés,EMP-9,Export Excel : colonne EMAIL + colonnes filtres,Task,Basse,Done
EPIC-2,Module Employés,EMP-10,Règle préservation email import : email en base non écrasé si champ fichier vide,Task,Haute,Done
EPIC-2,Module Employés,EMP-11,Backend + Frontend : Création individuelle d'employé (bouton Nouvel employé + EmployeeFormModal),Story,Haute,Done
EPIC-2,Module Employés,EMP-12,Backend + Frontend : Modification individuelle d'employé (bouton Modifier + EmployeeFormModal mode édition),Story,Haute,Done
EPIC-2,Module Employés,EMP-13,Champs dynamiques du formulaire : selects pour département poste ligne de production type travail shift,Task,Haute,Done
EPIC-2,Module Employés,EMP-14,Flag supervisorRole sur Employee — désignation explicite superviseur sans opérateurs rattachés,Story,Haute,Done
EPIC-2,Module Employés,EMP-15,Bug: INNER JOIN implicite sur supervisor dans findPagedWithFilters — superviseurs sans employé absents du tableau,Bug,Haute,Done
EPIC-2,Module Employés,EMP-16,Bug: supervisorRole absent de EmployeeDto — réinitialisé à false à chaque ouverture du formulaire d'édition,Bug,Haute,Done
EPIC-3,Authentification & Rôles,AUTH-1,Ajouter le rôle NURSE dans UserRole enum,Task,Haute,Done
EPIC-3,Authentification & Rôles,AUTH-2,Logique d'attribution automatique NURSE si poste = AIDE SOIGNANTE (création unitaire),Story,Haute,Done
EPIC-3,Authentification & Rôles,AUTH-3,Même logique pour les imports batch (EmployeeCreationListener),Task,Haute,Done
EPIC-3,Authentification & Rôles,AUTH-4,Backfill au démarrage : SUPERVISOR → NURSE pour employés existants (DataInitializer),Task,Haute,Done
EPIC-3,Authentification & Rôles,AUTH-5,Autoriser NURSE sur /api/v1/users/** dans SecurityConfiguration,Task,Haute,Done
